tipologia,genere,bagno,cucina,salotto,balcone,zona,Prezzo €
singola,F,1,1,1,0,San Donato,320
singola,M/F,1,1,1,0,Marconi,465
singola,M/F,1,1,1,0,Saffi,430
singola,F,2,1,1,1,Irnerio,550
singola,F,1,1,0,1,S.Vitale,400
singola,M/F,2,1,0,1,S.Vitale,400
singola,F,1,1,0,0,Saffi ,405
singola,M/F,1,1,1,0,San Donato,550
singola,M/F,1,1,0,0,Marconi,450
singola,F,1,1,0,0,San Donato,350
singola,M,3,2,0,3,Bolognina,420
singola,F,1,1,0,0,S.Vitale ,400
singola,M/F,1,1,0,0,San Donato,280
singola,F,1,1,1,0,Irnerio,420
singola,M/F,1,1,0,0,San Donato,350
singola,M,1,1,0,1,San Donato,450
singola,M/F,2,1,0,1,Costa Saragozza,400
singola,M/F,2,1,0,0,Galvani,650
singola,F,1,1,0,0,Murri,280
singola,M/F,1,1,0,1,Mazzini,350
singola,,1,1,1,0,San Donato,470
singola,M/F,1,1,0,0,Marconi,450
singola,M/F,1,1,0,1,Borgo Panigale,350
singola,F,1,1,0,1,Corticella,390
singola,F,1,1,1,0,Saffi,450
singola,M/F,1,1,1,0,Murri,400
singola,F,1,1,0,1,Mazzini,250
singola,F,1,1,0,0,S.Vitale,450
singola,F,1,1,0,0,Saffi,420
singola,F,1,1,0,0,Saffi,405
singola,M/F,2,1,0,1,Bolognina,350
singola,F,1,1,0,0,Murri,340
singola,M/F,1,1,0,1,Saffi,350
singola,F,2,1,0,0,Marconi,350
singola,M/F,1,1,0,0,Costa Saragozza,450
singola,F,1,1,1,0,Malpighi,320
singola,M,1,1,0,1,San Donato,350
singola,M/F,2,1,0,1,S.Vitale,400
singola,F,1,1,0,1,Irnerio,500
singola,F,1,1,0,0,San Donato,325
singola,F,1,1,0,0,Marconi,340
singola,M/F,2,1,0,0,S.Vitale,400
singola,F,1,1,1,1,Bolognina,300
singola,M/F,1,1,0,0,S.Ruffillo,325
singola,M/F,1,1,0,0,Mazzini,395
singola,F,2,1,0,1,Irnerio,380
singola,F,1,1,1,1,Costa Saragozza,410
singola,F,1,1,0,0,Bolognina,440
singola,M/F,1,1,0,1,Lame,300
singola,M/F,1,1,0,0,Saffi,500
singola,M/F,1,1,0,1,Saffi,260
singola,M/F,1,1,0,0,Corticella,350
singola,M/F,2,1,0,0,Mazzini,450
singola,F,1,1,0,0,Irnerio,450
singola,F,2,1,1,1,Marconi,470
singola,M/F,1,1,0,0,San Donato,460
singola,M/F,1,1,0,1,Marconi,380
singola,M/F,2,1,0,0,Irnerio,450
singola,M,2,1,1,0,Malpighi,250
singola,M/F,1,1,0,0,Marconi,400
singola,M/F,1,1,0,0,Barca,350
singola,F,1,1,0,0,Bolognina,400
singola,M/F,1,1,0,0,S.Vitale,320
singola,F,1,1,0,0,Costa Saragozza,450
singola,M/F,2,1,0,2,Bolognina,400
singola,M/F,1,1,0,0,Bolognina,500
singola,F,1,1,0,0,S.Viola,300
singola,M/F,1,1,1,1,Costa Sareagozza,350
singola,F,1,1,0,1,Mazzini,410
singola,M/F,1,1,0,0,Lame,350
singola,F,1,1,0,0,Irnerio,420
singola,F,1,1,0,1,Galvani,500
singola,F,1,1,1,0,Colli,360
singola,M/F,1,1,0,0,S.Ruffillo,325
singola,M/F,1,1,0,0,Irnerio,400
singola,M/F,1,1,0,1,Murri,400
singola,M/F,1,1,0,0,Murri,530
singola,F,1,1,0,1,San Donato,465
singola,M/F,1,1,0,0,Corticella,350
singola,M/F,1,1,1,1,San Donato,375
singola,M/F,1,1,0,0,S.Vitale,550
singola,M/F,1,1,0,0,S.Ruffillo,500
singola,M/F,1,1,0,0,San Donato,500
singola,M/F,1,1,0,0,Costa Saragozza,450
singola,M/F,1,1,0,0,Irnerio,315
singola,F,1,1,0,0,Malpighi,400
singola,M/F,1,1,1,1,Bolognina,380
singola,F,1,1,0,0,Marconi,300
singola,F,1,1,1,0,Murri,330
singola,M/F,1,1,1,1,Murri,425
singola,M/F,1,1,0,1,Mazzini,375
singola,M/F,1,1,0,0,S.Vitale,400
singola,M/F,1,1,0,3,San Donato,400
singola,M/F,1,1,0,0,Murri,320
singola,F,1,1,0,0,Lame,440
singola,M/F,1,1,1,1,Saffi,400
singola,M/F,1,1,1,0,Murri,350
singola,F,1,1,0,1,Corticella,330
singola,M/F,1,1,0,0,Lame,340
singola,F,1,1,0,0,Murri,253
doppia,M/F,1,1,0,0,Costa Saragozza,300
