tipologia,genere,zona,bagno,cucina,salotto,balcone,euro,range euro
singola,F,San Donato,1,1,1,0,320,300-325
singola,M/F,Marconi,1,1,1,0,465,450-475
singola,M/F,Saffi,1,1,1,0,430,425-450
singola,F,Irnerio,2,1,1,1,550,550-575
singola,F,S.Vitale,1,1,0,1,400,400-425
singola,M/F,S.Vitale,2,1,0,1,400,400-425
singola,F,Saffi,1,1,0,0,405,400-425
singola,M/F,San Donato,1,1,1,0,550,550-575
singola,M/F,Marconi,1,1,0,0,450,450-475
singola,F,San Donato,1,1,0,0,350,350-375
singola,M,Bolognina,3,2,0,3,420,400-425
singola,F,S.Vitale,1,1,0,0,400,400-425
singola,M/F,San Donato,1,1,0,0,280,275-300
singola,F,Irnerio,1,1,1,0,420,400-425
singola,M/F,San Donato,1,1,0,0,350,350-375
singola,M,San Donato,1,1,0,1,450,450-475
singola,M/F,Costa Saragozza,2,1,0,1,400,400-425
singola,M/F,Galvani,2,1,0,0,650,650-675
singola,F,Murri,1,1,0,0,280,275-300
singola,M/F,Mazzini,1,1,0,1,350,350-375
singola,M/F,San Donato,1,1,1,0,470,450-475
singola,M/F,Marconi,1,1,0,0,450,450-475
singola,M/F,Borgo Panigale,1,1,0,1,350,350-375
singola,F,Corticella,1,1,0,1,390,375-400
singola,F,Saffi,1,1,1,0,450,450-475
singola,M/F,Murri,1,1,1,0,400,400-425
singola,F,Mazzini,1,1,0,1,250,250-275
singola,F,S.Vitale,1,1,0,0,450,450-475
singola,F,Saffi,1,1,0,0,420,400-425
singola,F,Saffi,1,1,0,0,405,400-425
singola,M/F,Bolognina,2,1,0,1,350,350-375
singola,F,Murri,1,1,0,0,340,325-350
singola,M/F,Saffi,1,1,0,1,350,350-375
singola,F,Marconi,2,1,0,0,350,350-375
singola,M/F,Costa Saragozza,1,1,0,0,450,450-475
singola,F,Malpighi,1,1,1,0,320,300-325
singola,M,San Donato,1,1,0,1,350,350-375
singola,M/F,S.Vitale,2,1,0,1,400,400-425
singola,F,Irnerio,1,1,0,1,500,500-525
singola,F,San Donato,1,1,0,0,325,325-350
singola,F,Marconi,1,1,0,0,340,325-350
singola,M/F,S.Vitale,2,1,0,0,400,400-425
singola,F,Bolognina,1,1,1,1,300,300-325
singola,M/F,S.Ruffillo,1,1,0,0,325,325-350
singola,M/F,Mazzini,1,1,0,0,395,375-400
singola,F,Irnerio,2,1,0,1,380,375-400
singola,F,Costa Saragozza,1,1,1,1,410,400-425
singola,F,Bolognina,1,1,0,0,440,425-450
singola,M/F,Lame,1,1,0,1,300,300-325
singola,M/F,Saffi,1,1,0,0,500,500-525
singola,M/F,Saffi,1,1,0,1,260,250-275
singola,M/F,Corticella,1,1,0,0,350,350-375
singola,M/F,Mazzini,2,1,0,0,450,450-475
singola,F,Irnerio,1,1,0,0,450,450-475
singola,F,Marconi,2,1,1,1,470,450-475
singola,M/F,San Donato,1,1,0,0,460,450-475
singola,M/F,Marconi,1,1,0,1,380,375-400
singola,M/F,Irnerio,2,1,0,0,450,450-475
singola,M,Malpighi,2,1,1,0,250,250-275
singola,M/F,Marconi,1,1,0,0,400,400-425
singola,M/F,Barca,1,1,0,0,350,350-375
singola,F,Bolognina,1,1,0,0,400,400-425
singola,M/F,S.Vitale,1,1,0,0,320,300-325
singola,F,Costa Saragozza,1,1,0,0,450,450-475
singola,M/F,Bolognina,2,1,0,2,400,400-425
singola,M/F,Bolognina,1,1,0,0,500,500-525
singola,F,S.Viola,1,1,0,0,300,300-325
singola,M/F,Costa Saragozza,1,1,1,1,350,350-375
singola,F,Mazzini,1,1,0,1,410,400-425
singola,M/F,Lame,1,1,0,0,350,350-375
singola,F,Irnerio,1,1,0,0,420,400-425
singola,F,Galvani,1,1,0,1,500,500-525
singola,F,Colli,1,1,1,0,360,350-375
singola,M/F,S.Ruffillo,1,1,0,0,325,325-350
singola,M/F,Irnerio,1,1,0,0,400,400-425
singola,M/F,Murri,1,1,0,1,400,400-425
singola,M/F,Murri,1,1,0,0,530,525-550
singola,F,San Donato,1,1,0,1,465,450-475
singola,M/F,Corticella,1,1,0,0,350,350-375
singola,M/F,San Donato,1,1,1,1,375,375-400
singola,M/F,S.Vitale,1,1,0,0,550,550-575
singola,M/F,S.Ruffillo,1,1,0,0,500,500-525
singola,M/F,San Donato,1,1,0,0,500,500-525
singola,M/F,Costa Saragozza,1,1,0,0,450,450-475
singola,M/F,Irnerio,1,1,0,0,315,300-325
singola,F,Malpighi,1,1,0,0,400,400-425
singola,M/F,Bolognina,1,1,1,1,380,375-400
singola,F,Marconi,1,1,0,0,300,300-325
singola,F,Murri,1,1,1,0,330,325-350
singola,M/F,Murri,1,1,1,1,425,425-450
singola,M/F,Mazzini,1,1,0,1,375,375-400
singola,M/F,S.Vitale,1,1,0,0,400,400-425
singola,M/F,San Donato,1,1,0,3,400,400-425
singola,M/F,Murri,1,1,0,0,320,300-325
singola,F,Lame,1,1,0,0,440,425-450
singola,M/F,Saffi,1,1,1,1,400,400-425
singola,M/F,Murri,1,1,1,0,350,350-375
singola,F,Corticella,1,1,0,1,330,325-350
singola,M/F,Lame,1,1,0,0,340,325-350
